ProteinName	SampleID	Condition	NormIntensity	Ibaq	IbaqNorm	IbaqLog	IbaqPpb	MolecularWeight	TPA	CopyNumber	Moles[nmol]	Weight[ng]	Concentration[nM]
O00231	PXD000396-Sample-1	HeLa	1690211088	3130020.533	0.000133032	6.123954497	13303.15026	47434.04085	35632.87162	1.42E+17	235.4757097	11169564.43	192.7894995
O00232	PXD000396-Sample-1	HeLa	1067047968	2667619.92	0.000113379	6.054531262	11337.86448	52870.57337	20182.26586	8.03E+16	133.372169	7051463.047	109.1949303
O00233	PXD000396-Sample-1	HeLa	202094110	4593047.955	0.000195213	6.29050829	19521.27996	24666.50674	8193.057581	3.26E+16	54.14287315	1335515.545	44.32804313
O00264	PXD000396-Sample-1	HeLa	633823247	13204650.98	0.000561221	6.749134237	56122.14177	21657.75745	29265.41442	1.16E+17	193.3971054	4188547.599	158.3387569
O00267	PXD000396-Sample-1	HeLa	199127374	488057.2892	2.07E-05	5.316878113	2074.331266	120924.5136	1646.708084	6.55334E+15	10.88207986	1315910.214	8.909414616
O00273	PXD000396-Sample-1	HeLa	187604980.8	1645657.726	6.99E-05	5.844746823	6994.34134	36499.50329	5139.932435	2.05E+16	33.96664884	1239765.811	27.80929396
O00299	PXD000396-Sample-1	HeLa	4269263376	21893658.34	0.00093052	6.968725646	93051.98594	26905.74825	158674.7685	6.31E+17	1048.58385	28212933.1	858.5002502
O00303	PXD000396-Sample-1	HeLa	2023702798	10377963.07	0.000441082	6.644519431	44108.20971	37540.15164	53907.68843	2.15E+17	356.2427223	13373405.81	291.6642919
O00330	PXD000396-Sample-1	HeLa	17230036	391591.7273	1.66E-05	5.221240818	1664.335276	54088.786	318.5509839	1.26773E+15	2.105107323	113862.6995	1.723500856
O00400	PXD000396-Sample-1	HeLa	15611830.2	371710.2429	1.58E-05	5.198611839	1579.835391	60869.76415	256.4792294	1.0207E+15	1.694913315	103168.9737	1.387665378
O00410	PXD000396-Sample-1	HeLa	5201777055	2230607.657	9.48E-05	5.976830499	9480.483758	123549.8599	42102.65443	1.68E+17	278.2305209	34375341.86	227.7938686
O00411	PXD000396-Sample-1	HeLa	57667968.5	252929.6864	1.07E-05	5.031407116	1074.996662	138531.8794	416.2794063	1.65665E+15	2.750934296	381092.0981	2.252254582
O00422	PXD000396-Sample-1	HeLa	216044206	3000613.972	0.000127531	6.105617437	12753.1491	17549.96804	12310.23358	4.90E+16	81.35075444	1427703.141	66.60377519
O00425	PXD000396-Sample-1	HeLa	116944687	1008143.853	4.28E-05	5.631929817	4284.792711	63665.56212	1836.859412	7.31008E+15	12.13867291	772815.4344	9.938216891
O00429	PXD000396-Sample-1	HeLa	897711580	816101.4364	3.47E-05	5.540151452	3468.577896	81826.11287	10970.96695	4.37E+16	72.50036584	5932423.118	59.35775398
O00442	PXD000396-Sample-1	HeLa	59035925	1035717.982	4.40E-05	5.643648827	4401.987719	39311.40417	1501.750605	5.97646E+15	9.924145133	390132.0804	8.125130934
O00461	PXD000396-Sample-1	HeLa	59692224	523616	2.23E-05	5.347420219	2225.462183	81831.26539	729.4549793	2.90298E+15	4.820518838	394469.1564	3.946672102
O00469	PXD000396-Sample-1	HeLa	754751187	1199922.396	5.10E-05	5.707560469	5099.886012	84631.60698	8918.076992	3.55E+16	58.93408005	4987685.9	48.25071686
O00483	PXD000396-Sample-1	HeLa	187894302	10438572.33	0.000443658	6.647048415	44365.81	9363.910375	20065.79458	7.99E+16	132.602482	1241677.757	108.5647695
O00487	PXD000396-Sample-1	HeLa	661435750	4295037.338	0.000182547	6.261374254	18254.68123	34554.55601	19141.78118	7.62E+16	126.4962464	4371021.631	103.5654508
O00499	PXD000396-Sample-1	HeLa	47755760	852781.4286	3.62E-05	5.559245044	3624.474461	64659.39435	738.574193	2.93928E+15	4.880782107	315588.415	3.996011057
O00505	PXD000396-Sample-1	HeLa	99190535	1549852.109	6.59E-05	5.818697569	6587.150236	57774.84283	1716.846471	6.83247E+15	11.34558127	655489.175	9.288894121
O00541	PXD000396-Sample-1	HeLa	128011415	735697.7874	3.13E-05	5.49510676	3126.847926	67959.99911	1883.628851	7.49621E+15	12.44774334	845948.6261	10.19126011
O00560	PXD000396-Sample-1	HeLa	398307024	6322333.714	0.000268711	6.429284726	26871.05548	32423.91915	12284.35779	4.89E+16	81.17975728	2632165.887	66.4637758
O00567	PXD000396-Sample-1	HeLa	1267613562	2271708.892	9.66E-05	5.984759988	9655.171404	66008.71728	19203.72966	7.64E+16	126.9056258	8376877.571	103.9006193
O00571	PXD000396-Sample-1	HeLa	981458600	3145700.641	0.000133698	6.126124701	13369.79354	73197.99903	13408.2709	5.34E+16	88.60700699	6485855.611	72.54463975
O00592	PXD000396-Sample-1	HeLa	516445550	3074080.655	0.000130654	6.116122568	13065.39572	58599.09215	8813.200531	3.51E+16	58.24101609	3412870.668	47.6832891
O00622	PXD000396-Sample-1	HeLa	875468187	2244790.223	9.54E-05	5.979583072	9540.762217	41998.2784	20845.3351	8.30E+16	137.7539854	5785430.229	112.7824264
O00625	PXD000396-Sample-1	HeLa	165778058	1950330.094	8.29E-05	5.918515432	8289.253705	32093.25643	5165.510654	2.06E+16	34.13567955	1095525.117	27.94768337
O00629	PXD000396-Sample-1	HeLa	276580588	2048745.096	8.71E-05	5.939895237	8707.535166	57850.64259	4780.942365	1.90E+16	31.5943045	1827750.818	25.86699987
O00743	PXD000396-Sample-1	HeLa	102413588	1600212.313	6.80E-05	5.832584918	6801.190157	35121.48334	2915.981281	1.16E+16	19.26992494	676788.3478	15.77674058
O00754	PXD000396-Sample-1	HeLa	29620851	296208.51	1.26E-05	5.100004842	1258.939446	113672.3677	260.5809274	1.03702E+15	1.722018911	195745.9669	1.409857367
O00763	PXD000396-Sample-1	HeLa	19276286	158002.3443	6.72E-06	4.827070841	671.5383829	276365.0129	69.74937166	2.77579E+14	0.460930653	127385.1059	0.377374762
O00764	PXD000396-Sample-1	HeLa	743074032	5715954.092	0.000242938	6.385496042	24293.83302	35079.91209	21182.32309	8.43E+16	139.9809315	4910518.773	114.6056796
O00767	PXD000396-Sample-1	HeLa	146935314	5651358.231	0.000240193	6.380560147	24019.28899	41496.14195	3540.93916	1.41E+16	23.39988678	971005.0233	19.15803743
O14530	PXD000396-Sample-1	HeLa	242959678	3737841.2	0.000158865	6.201028157	15886.49742	26517.48671	9162.243793	3.65E+16	60.5476281	1605570.924	49.57176659
O14545	PXD000396-Sample-1	HeLa	5920286	269103.9091	1.14E-05	5.058327316	1143.740017	64800.14544	91.36223321	3.63591E+14	0.603756748	39123.5251	0.494309844
O14548	PXD000396-Sample-1	HeLa	81511521	5434101.4	0.000230959	6.363535048	23095.90838	12606.50439	6465.830534	2.57E+16	42.72869304	538659.4563	34.98298553
O14561	PXD000396-Sample-1	HeLa	455506850	32536203.57	0.001382847	7.140774187	138284.7174	17405.98436	26169.55413	1.04E+17	172.9384709	3010164.32	141.5887918
O14562	PXD000396-Sample-1	HeLa	105264142	5848007.889	0.000248551	6.39541526	24855.08541	33360.84923	3155.319617	1.26E+16	20.85156464	695625.9042	17.07166619
O14579	PXD000396-Sample-1	HeLa	724358232	5571986.4	0.000236819	6.374417358	23681.94443	34460.34064	21020.05432	8.37E+16	138.9085971	4786837.574	113.7277342
O14617	PXD000396-Sample-1	HeLa	489450596	685505.0364	2.91E-05	5.46441796	2913.519706	130075.7802	3762.81115	1.50E+16	24.86610216	3234477.638	20.35846243
O14656	PXD000396-Sample-1	HeLa	9478878	592429.875	2.52E-05	5.401044261	2517.933529	37784.47969	250.8669718	9.98366E+14	1.65782536	62640.06863	1.357300597
O14684	PXD000396-Sample-1	HeLa	15241247.5	1088660.536	4.63E-05	5.66529979	4627.003094	17090.99438	891.7706696	3.54895E+15	5.893163299	100720.0208	4.82487134
O14732	PXD000396-Sample-1	HeLa	36908571	946373.6154	4.02E-05	5.604469934	4022.258089	31301.05728	1179.147742	4.69261E+15	7.792261433	243906.0214	6.379707629
O14737	PXD000396-Sample-1	HeLa	1003702856	16728380.93	0.000710986	6.85186122	71098.62789	14276.34091	70305.3298	2.80E+17	464.6046382	6632854.203	380.38274
O14744	PXD000396-Sample-1	HeLa	1245849810	2049095.082	8.71E-05	5.939969421	8709.022669	72637.54953	17151.59471	6.83E+16	113.3443293	8233054.334	92.7976671
O14745	PXD000396-Sample-1	HeLa	1057255521	4004755.759	0.000170209	6.230983345	17020.93231	38844.61028	27217.56024	1.08E+17	179.864098	6986750.791	147.2589656
O14773	PXD000396-Sample-1	HeLa	171502184	1948888.455	8.28E-05	5.918194293	8283.126477	61209.63233	2801.882277	1.12E+16	18.51591487	1133352.341	15.15941481
O14776	PXD000396-Sample-1	HeLa	432810616	1008882.555	4.29E-05	5.632247922	4287.932325	123823.277	3495.389771	1.39E+16	23.09887891	2860178.883	18.91159521
O14787	PXD000396-Sample-1	HeLa	16995191	242788.4429	1.03E-05	5.01363532	1031.894552	101322.2305	167.7340788	6.67525E+14	1.108451254	112310.7535	0.907515101
O14817	PXD000396-Sample-1	HeLa	22022454	3146064.857	0.000133713	6.126174981	13371.34152	26100.21571	843.7652104	3.3579E+15	5.575924776	145532.8394	4.565140702
O14818	PXD000396-Sample-1	HeLa	1229433700	10977086.61	0.000466546	6.668894401	46654.59252	27869.61479	44113.76724	1.76E+17	291.5207272	8124570.371	238.6748729
O14828	PXD000396-Sample-1	HeLa	378929828	5413283.257	0.000230074	6.361868063	23007.42753	38262.3264	9903.47069	3.94E+16	65.4459403	2504113.929	53.58212994
O14880	PXD000396-Sample-1	HeLa	481698500	13762814.29	0.000584944	6.76711456	58494.43622	16505.56742	29184.00124	1.16E+17	192.8590958	3183248.808	157.8982758
O14907	PXD000396-Sample-1	HeLa	133061290	13306129	0.000565534	6.752459039	56553.44162	13726.12885	9694.014347	3.86E+16	64.06177229	879320.1408	52.44887905
O14908	PXD000396-Sample-1	HeLa	31550248	2103349.867	8.94E-05	5.951318828	8939.615262	36026.69048	875.7464975	3.48518E+15	5.787269411	208496.1638	4.738173524
O14929	PXD000396-Sample-1	HeLa	769988900	5133259.333	0.000218173	6.338800515	21817.27548	49508.82088	15552.55985	6.19E+16	102.7772925	5088382.564	84.14618563
O14949	PXD000396-Sample-1	HeLa	291373514	12140563.08	0.000515996	6.71264614	51599.57682	9900.120871	29431.30875	1.17E+17	194.4933989	1925508.158	159.2363182
O14964	PXD000396-Sample-1	HeLa	191235322	1529882.576	6.50E-05	5.813065408	6502.276127	86137.54672	2220.115725	8.83531E+15	14.67137792	1263756.501	12.01180202
O14965	PXD000396-Sample-1	HeLa	269214952	1748149.039	7.43E-05	5.870985766	7429.947854	45794.85878	5878.715628	2.34E+16	38.8488121	1779075.864	31.80643579
O14974	PXD000396-Sample-1	HeLa	168249441	731519.3087	3.11E-05	5.492633104	3109.08864	115211.312	1460.355221	5.81172E+15	9.650588526	1111856.966	7.901163709
O14975	PXD000396-Sample-1	HeLa	250808398	1045034.992	4.44E-05	5.647538142	4441.586684	70267.33113	3569.345725	1.42E+16	23.58760828	1657438.282	19.31172944
O14979	PXD000396-Sample-1	HeLa	1653005700	13119092.86	0.000557585	6.746311116	55758.50437	46409.08711	35618.14728	1.42E+17	235.3784056	10923696.93	192.7098343
O14980	PXD000396-Sample-1	HeLa	4070813216	1786227.826	7.59E-05	5.880344161	7591.789549	123306.0966	33013.88439	1.31E+17	218.1684355	26901498.18	178.6196273
O15027	PXD000396-Sample-1	HeLa	57671916	182506.0633	7.76E-06	4.889684607	775.6835963	251737.5154	229.0954366	9.11722E+14	1.513950688	381118.1847	1.239507021
O15031	PXD000396-Sample-1	HeLa	26912671.5	156469.0203	6.65E-06	4.822835673	665.0214805	204997.1801	131.2831303	5.22463E+14	0.867569378	177849.276	0.710299446
O15042	PXD000396-Sample-1	HeLa	619816986	1087398.221	4.62E-05	5.664795928	4621.638029	118218.6032	5242.97335	2.09E+16	34.64758281	4095988.844	28.3667906
O15067	PXD000396-Sample-1	HeLa	2777513326	1417098.635	6.02E-05	5.77980739	6022.924093	144642.8908	19202.5568	7.64E+16	126.897875	18354875.47	103.8942736
O15121	PXD000396-Sample-1	HeLa	48037732	3431266.571	0.000145835	6.163861769	14583.50011	37841.15474	1269.457349	5.05201E+15	8.389062028	317451.7943	6.868322307
O15126	PXD000396-Sample-1	HeLa	400859983	16702499.29	0.000709886	6.851188772	70988.62626	37895.80697	10577.95084	4.21E+16	69.90316431	2649036.821	57.23136402
O15143	PXD000396-Sample-1	HeLa	453880862	3602229.063	0.000153101	6.184978636	15310.12145	40923.41503	11090.98206	4.41E+16	73.29347181	2999419.166	60.00708848
O15144	PXD000396-Sample-1	HeLa	521536478	3431161.039	0.000145831	6.163848412	14583.05158	34311.48538	15200.05538	6.05E+16	100.4478075	3446513.477	82.23898146
O15145	PXD000396-Sample-1	HeLa	323239183	4617702.614	0.000196261	6.29283327	19626.06669	20533.37463	15742.13634	6.26E+16	104.0300868	2136088.745	85.17187776
O15160	PXD000396-Sample-1	HeLa	205232080	2931886.857	0.00012461	6.095554517	12461.0465	39225.02872	5232.171568	2.08E+16	34.57620048	1356252.457	28.30834821
O15173	PXD000396-Sample-1	HeLa	447045286	8278616.407	0.000351856	6.54636507	35185.6088	23803.73039	18780.47175	7.47E+16	124.1085748	2954247.053	101.6106079
O15212	PXD000396-Sample-1	HeLa	414426506	12950828.31	0.000550433	6.740704856	55043.34979	14573.804	28436.39903	1.13E+17	187.9186531	2738689.619	153.8534192
O15226	PXD000396-Sample-1	HeLa	286487129	837681.6637	3.56E-05	5.551486319	3560.297744	77624.21723	3690.692663	1.47E+16	24.38951548	1893217.048	19.96826971
O15260	PXD000396-Sample-1	HeLa	529703596	9809325.852	0.000416914	6.620046471	41691.39927	30373.78347	17439.49997	6.94E+16	115.2469179	3500484.932	94.35536115
O15269	PXD000396-Sample-1	HeLa	449542137.5	3567794.742	0.000151638	6.180807171	15163.76939	52710.46714	8528.517425	3.39E+16	56.35972072	2970747.207	46.14302835
O15294	PXD000396-Sample-1	HeLa	224655806	468032.9292	1.99E-05	5.29868372	1989.224134	116849.9076	1922.601485	7.6513E+15	12.70528949	1484611.903	10.4021192
O15305	PXD000396-Sample-1	HeLa	347479501	3102495.545	0.000131862	6.120118476	13186.16411	28064.2282	12381.58051	4.93E+16	81.82224236	2296278.082	66.98979344
O15347	PXD000396-Sample-1	HeLa	463887634	15462921.13	0.000657202	6.817698851	65720.19612	22965.4419	20199.37766	8.04E+16	133.4852503	3065547.761	109.2875127
O15355	PXD000396-Sample-1	HeLa	1344189209	4174500.648	0.000177424	6.249011843	17742.37862	59234.68745	22692.60237	9.03E+16	149.9614374	8882918.872	122.7769543
O15357	PXD000396-Sample-1	HeLa	12602332	188094.5075	7.99E-06	4.902783424	799.4354892	138512.9338	90.98307036	3.62082E+14	0.601251094	83281.05303	0.492258406
O15371	PXD000396-Sample-1	HeLa	1878092204	3726373.421	0.000158378	6.199693683	15837.7573	63932.43203	29376.2046	1.17E+17	194.1292495	12411155.05	158.9381805
O15372	PXD000396-Sample-1	HeLa	1546722918	5155743.06	0.000219128	6.340698576	21912.83537	39905.05485	38760.07498	1.54E+17	256.1414713	10221339.46	209.7090444
O15382	PXD000396-Sample-1	HeLa	32525624	956636	4.07E-05	5.60915403	4065.87507	44259.05849	734.8919094	2.92462E+15	4.856448162	214941.8232	3.976088284
O15397	PXD000396-Sample-1	HeLa	23385699	254192.3804	1.08E-05	5.033569838	1080.363338	119861.2609	195.1063991	7.76458E+14	1.289338066	154541.6863	1.055611387
O15427	PXD000396-Sample-1	HeLa	1459245836	9728305.573	0.00041347	6.616444514	41347.04851	49436.89141	29517.34615	1.17E+17	195.0619671	9643257.284	159.7018183
O15446	PXD000396-Sample-1	HeLa	119392532	2653167.378	0.000112764	6.052171959	11276.43858	54951.36655	2172.694502	8.64659E+15	14.35800026	788991.7349	11.75523236
O15460	PXD000396-Sample-1	HeLa	18963924.5	326964.2155	1.39E-05	5.142907534	1389.656727	60863.62457	311.5805973	1.23999E+15	2.05904433	125320.9011	1.685788001
O15498	PXD000396-Sample-1	HeLa	134623809	1923197.271	8.17E-05	5.912431144	8173.934328	22403.40688	6009.077537	2.39E+16	39.7102937	889645.8668	32.51175103
O15511	PXD000396-Sample-1	HeLa	172991478	5766382.6	0.000245082	6.389310764	24508.16325	16310.29931	10606.27244	4.22E+16	70.09032435	1143194.169	57.38459635
O15533	PXD000396-Sample-1	HeLa	177936546	4942681.833	0.000210073	6.322369965	21007.28683	47540.62133	3742.83173	1.49E+16	24.73407047	1175873.078	20.25036499
O43143	PXD000396-Sample-1	HeLa	2949643020	2283005.433	9.70E-05	5.986914255	9703.183735	90875.1661	32458.18574	1.29E+17	214.4961653	19492374.65	175.6130533
O43148	PXD000396-Sample-1	HeLa	55020700	1100414	4.68E-05	5.669963417	4676.957431	54809.26265	1003.857694	3.99501E+15	6.633877431	363597.9305	5.431311413
O43159	PXD000396-Sample-1	HeLa	15826393	688104.0435	2.92E-05	5.46606142	2924.565954	50683.10592	312.2617036	1.2427E+15	2.063545342	104586.8871	1.689473085
O43169	PXD000396-Sample-1	HeLa	528330470	29351692.78	0.0012475	7.096040463	124749.9738	16684.09933	31666.7061	1.26E+17	209.2657636	3491410.787	171.3308005
O43172	PXD000396-Sample-1	HeLa	585007622	1344845.108	5.72E-05	5.757079578	5715.833606	58412.39761	10015.12771	3.99E+16	66.18381281	3865955.189	54.18624351
O43175	PXD000396-Sample-1	HeLa	5334042861	11020749.71	0.000468402	6.670618449	46840.16858	56614.40461	94217.06186	3.75E+17	622.6225531	35249405.14	509.7557219
O43181	PXD000396-Sample-1	HeLa	54045980	3002554.444	0.000127614	6.105898201	12761.39646	20095.4324	2689.46589	1.07E+16	17.77302419	357156.6061	14.55119274
O43237	PXD000396-Sample-1	HeLa	50778088	1057876.833	4.50E-05	5.652842416	4496.166821	54065.53998	939.1950587	3.73768E+15	6.206561888	335561.1199	5.081458132
O43242	PXD000396-Sample-1	HeLa	1733493931	2427862.648	0.000103189	6.013631424	10318.85295	60939.48824	28446.15176	1.13E+17	187.9831029	11455594.09	153.9061858
O43252	PXD000396-Sample-1	HeLa	11823884.5	184748.1953	7.85E-06	4.894987515	785.2130606	70787.63214	167.0331969	6.64736E+14	1.103819557	78136.77279	0.903723022
O43264	PXD000396-Sample-1	HeLa	24293943	296267.5976	1.26E-05	5.100091466	1259.190579	88772.8699	273.6640488	1.08909E+15	1.808477206	160543.7117	1.480642805
O43290	PXD000396-Sample-1	HeLa	231742387	660234.7208	2.81E-05	5.448105669	2806.116319	90200.26708	2569.198457	1.02E+16	16.97825077	1531442.754	13.90049306
O43324	PXD000396-Sample-1	HeLa	312644523	4342285.042	0.000184555	6.266125639	18455.49247	19798.34212	15791.44966	6.28E+16	104.3559681	2066075.16	85.43868449
O43390	PXD000396-Sample-1	HeLa	2548781668	4164675.928	0.000177006	6.247988523	17700.62179	70899.2485	35949.34674	1.43E+17	237.5670989	16843328.78	194.501769
O43395	PXD000396-Sample-1	HeLa	206345414.5	806036.7754	3.43E-05	5.534762167	3425.801277	77480.93498	2663.176619	1.06E+16	17.59929458	1363609.799	14.40895623
O43396	PXD000396-Sample-1	HeLa	594780098	3604727.867	0.000153207	6.185279794	15320.74181	32230.72837	18453.82118	7.34E+16	121.9499423	3930535.466	99.8432848
O43399	PXD000396-Sample-1	HeLa	854612678	7769206.164	0.000330205	6.518783956	33020.52364	22224.27113	38454.02502	1.53E+17	254.1189755	5647609.011	208.0531795
O43402	PXD000396-Sample-1	HeLa	63111427	1912467.485	8.13E-05	5.91000137	8128.330805	23757.66161	2656.466281	1.06E+16	17.55495009	417064.5638	14.37265035
O43447	PXD000396-Sample-1	HeLa	116120442	3518801.273	0.000149555	6.17480205	14955.53833	19195.61984	6049.319738	2.41E+16	39.97622963	767368.5067	32.72947903
O43491	PXD000396-Sample-1	HeLa	281706159	457315.1932	1.94E-05	5.28862294	1943.671828	112519.2529	2503.626283	9.96359E+15	16.54492464	1861622.561	13.54571877
O43493	PXD000396-Sample-1	HeLa	45538430.5	517482.1648	2.20E-05	5.342302696	2199.39228	45852.51757	993.1500583	3.9524E+15	6.56311726	300935.4495	5.373378398
O43504	PXD000396-Sample-1	HeLa	72082948	7208294.8	0.000306365	6.48623985	30636.54945	9607.717437	7502.609072	2.99E+16	49.58012406	476351.8224	40.59241318
O43583	PXD000396-Sample-1	HeLa	238600392	6627788.667	0.000281693	6.449775962	28169.29397	22078.07042	10807.12161	4.30E+16	71.41761287	1576763.086	58.47127866
O43592	PXD000396-Sample-1	HeLa	1547666824	1894329.038	8.05E-05	5.905862727	8051.239143	109893.3001	14083.35924	5.60E+16	93.06825022	10227577.15	76.19716447
O43598	PXD000396-Sample-1	HeLa	342048854	7601085.644	0.00032306	6.509282936	32305.98119	19096.58705	17911.51754	7.13E+16	118.3661915	2260390.279	96.9091837
O43615	PXD000396-Sample-1	HeLa	578830522	1663306.098	7.07E-05	5.84937949	7069.350093	51323.45469	11278.08963	4.49E+16	74.52995052	3825134.538	61.01942267
O43617	PXD000396-Sample-1	HeLa	80352113	2976004.185	0.000126486	6.102040848	12648.55308	20261.14721	3965.822475	1.58E+16	26.20767901	530997.6426	21.45684294
O43660	PXD000396-Sample-1	HeLa	68123672	810996.0952	3.45E-05	5.537426073	3446.879278	57158.10221	1191.846289	4.74315E+15	7.876178313	450187.405	6.448412352
O43663	PXD000396-Sample-1	HeLa	417408135.8	1159467.044	4.93E-05	5.692665719	4927.943489	71561.6094	5832.850033	2.32E+16	38.54571463	2758393.375	31.55828277
O43670	PXD000396-Sample-1	HeLa	588544118	19618137.27	0.000833806	6.921065079	83380.61209	50717.14383	11604.44129	4.62E+16	76.68660773	3889325.714	62.78512863
O43674	PXD000396-Sample-1	HeLa	67756622	3764256.778	0.000159988	6.204086551	15998.76838	21736.55805	3117.173466	1.24E+16	20.59948021	447761.7976	16.86527874
O43678	PXD000396-Sample-1	HeLa	19438744	3239790.667	0.000137697	6.13892426	13769.69307	10914.77704	1780.956581	7.08761E+15	11.76924552	128458.6908	9.635758
O43681	PXD000396-Sample-1	HeLa	644572174	3906498.024	0.000166033	6.220194919	16603.31926	38767.41711	16626.64738	6.62E+16	109.8752756	4259580.64	89.95747129
O43683	PXD000396-Sample-1	HeLa	8250492.5	158663.3173	6.74E-06	4.82888384	674.3476372	122297.0037	67.46275259	2.68479E+14	0.445819796	54522.42517	0.365003148
O43684	PXD000396-Sample-1	HeLa	1911993738	9104732.083	0.000386967	6.587674481	38696.74902	37131.17979	51492.94336	2.05E+17	340.2851588	12635189.41	278.5994596
O43688	PXD000396-Sample-1	HeLa	68033178	2834715.75	0.000120481	6.080916827	12048.05182	32552.61867	2089.944858	8.31727E+15	13.8111588	449589.3859	11.30752041
O43707	PXD000396-Sample-1	HeLa	909378180	918563.8182	3.90E-05	5.591516645	3904.061449	104788.4742	8678.227129	3.45E+16	57.34905998	6009520.495	46.95302366
O43708	PXD000396-Sample-1	HeLa	21826066	1212559.222	5.15E-05	5.712110269	5153.594797	24196.71947	902.0258315	3.58976E+15	5.96093335	144235.0321	4.880356274
O43719	PXD000396-Sample-1	HeLa	443258032	774926.6294	3.29E-05	5.517667895	3293.57756	85800.56185	5166.1437	2.06E+16	34.13986296	2929219.423	27.95110842
O43747	PXD000396-Sample-1	HeLa	352913840	1153313.203	4.90E-05	5.690354574	4901.788557	91293.12903	3865.72181	1.54E+16	25.54617535	2332190.282	20.91525434
O43760	PXD000396-Sample-1	HeLa	175737500	8368452.381	0.000355674	6.551052459	35567.42785	24794.14808	7087.862	2.82E+16	46.83931602	1161340.937	38.34844921
O43765	PXD000396-Sample-1	HeLa	376634318	5231032.194	0.000222328	6.346994703	22232.82773	34041.69501	11063.912	4.40E+16	73.11458246	2488944.317	59.86062756
